id,severity,title,description,iacontrols,ruleid,fixid,fixtext,checkid,checktext
V-70309,medium,The designer must ensure the application does not store configuration and control files in the same directory as user data.,"Application configuration settings and user data are required to be stored in separate locations in order to prevent application users from possibly being able to access application configuration settings or application data files. Without proper access controls and separation of application configuration settings from user data, there is the potential that existing code or configuration settings could be changed by users. These changes in code can lead to a Denial of Service (DoS) attack or allow malicious code to be placed within the application. In addition, collocating application data and code complicates many issues such as backup, recovery, directory access privilege, and upgrades.",None,SV-84931r1_rule,F-76545r1_fix,Separate the application user data into a different directory than the application code and user file permissions to restrict user access to application configuration settings.,C-70785r1_chk,"Review the application documentation and interview the application administrator.

Ask the application administrator or examine the application documentation to determine the file location of the application configuration settings and user data.

Identify the directory where the application code, configuration settings and other application control data are located.

Identify where user data is stored.

Examine file permissions to application folder.

If the application user data is located in the same directory as the application configuration settings or control files, or if the file permissions allow application users write access to application configuration settings, this is a finding."
V-69329,high,The application must enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,"To mitigate the risk of unauthorized access to sensitive information by entities that have been issued certificates by DoD-approved PKIs, all DoD systems (e.g., networks, web servers, and web portals) must be properly configured to incorporate access control methods that do not rely solely on the possession of a certificate for access. 

Successful authentication must not automatically give an entity access to a restricted asset or security boundary.

Authorization procedures and controls must be implemented to ensure each authenticated entity also has a validated and current authorization.

Authorization is the process of determining whether an entity, once authenticated, is permitted to access a specific asset.

Information systems use access control policies and enforcement mechanisms to implement this requirement.

Access control policies include identity-based policies, role-based policies, and attribute-based policies.

Access enforcement mechanisms include access control lists, access control matrices, and cryptography.

These policies and mechanisms must be employed by the application to control access between users (or processes acting on behalf of users) and objects (e.g., devices, files, records, processes, programs, and domains) in the information system.

This requirement is applicable to access control enforcement applications (e.g., authentication servers) and other applications that perform information and system access control functions.",None,SV-83951r1_rule,F-75503r1_fix,Design or configure the application to enforce access to application resources.,C-69741r1_chk,"Review the application documentation and interview the application administrator.

Review application data protection requirements.

Identify application resources that require protection and authentication over and above the authentication required to access the application itself.

This can be access to a URL, a folder, a file, a process or a database record that should only be available to certain individuals.

Identify the access control methods utilized by the application in order to control access to the resource.

Examples include Role-Based Access Control policies (RBAC).

Using RBAC as an example, utilize a test account placed into a test role.

Set a protection control on a resource and explicitly deny access to the role assigned to the test user account.

Try to access an application resource that is not configured to allow access. Access should be denied.

If the enforcement of configured access restrictions is not performed, this is a finding."
V-70375,medium,An application code review must be performed on the application.,"A code review is a systematic evaluation of computer source code conducted for the purposes of identifying and remediating the security flaws in the software.

This requirement is meant to apply to developers or organizations that are doing application development work and have the responsibility for maintaining the application source code.

Examples of security flaws include but are not limited to:

- format string exploits
- memory leaks 
- buffer overflows 
- race conditions
- sql injection
- dead/unused/commented code
- input validation exploits

The code review is conducted during the application development phase, this allows discovered security issues to be corrected prior to release.

Code reviews performed after the development phase must eventually go back to development for correction so conducting the code review during development is the logical and preferred action.

Automated code review tools are to be used whenever reviewing application source code. These tools are often incorporated into Integrated Development Environments (IDE) so code reviews can be conducted during all stages of the development life cycle. Periodically reviewing code during the development phase makes transition to a production environment easier as flaws are continually identified and addressed during the development phase rather than en masse at the end of the development effort.

Code review processes and the tools used to conduct the code review analysis will vary depending upon application architecture and the development languages utilized.

In addition to automated testing, manual code reviews may also be used to validate or augment automated code review results. Larger projects will have a large code base and will require the use of automated code review tools in order to achieve complete code review coverage.

A manual code review may consist of a peer review wherein other programmers on the team manually examine source code and automated code review results for known flaws that introduce security bugs into the application.

As with any testing, there is no single best approach and the tests must be tailored to the application architecture. Use of automated tools along with manual review of code and testing results is considered a best practice when conducting code reviews. This method is the most likely way to ensure the maximum number of errors are caught and addressed prior to implementing the application in a production environment.",None,SV-84997r1_rule,F-76611r1_fix,Conduct and document code reviews on the application during development and identify and remediate all known and potential security vulnerabilities prior to releasing the application.,C-70829r1_chk,"This requirement is meant to apply to developers or organizations that are doing the application development work and have the responsibility for maintaining the application source code.  Otherwise, the requirement is not applicable.

Review the system documentation and ask the application representative to describe the code review process or provide documentation outlining the organizations code review process.

If code reviews are conducted with software tools, have the application representative provide the latest code review report for the application.

Ensure the code review looks for all known security flaws including but not limited to:

- format string exploits
- memory leaks
- buffer overflows
- race conditions
- sql injection
- dead/unused/commented code
- input validation exploits

If the organization does not conduct code reviews on the application that attempt to identify all known and potential security issues, or if code review results are not available for review, this is a finding."
V-6148,medium,"The designer will ensure threat models are documented and reviewed for each application release and updated as required by design and functionality changes or new threats are discovered.

",The lack of threat modeling will potentially leave unidentified threats for attackers to utilize to gain access to the application.,['DCSQ-1'],SV-6148r1_rule,F-16986r1_fix,Establish and maintain threat models and review for each application release and when new threats are discovered. Identify potential mitigations to identified threats. Ensure mitigations are implemented to threats based on their risk analysis.,C-2960r1_chk,"Review the threat model and identify the following sections are present:
• Identified threats
• Potential mitigations 
• Mitigations selected based on risk analysis

Detailed information on threat modeling can be found at the Open Web Application Security Project (OWASP) website.
 
If the application is a COTS/GOTS product or is composed of only COTS/GOTS products with no custom code, this check does not apply unless the application is being reviewed by or in conjunction with the COTS/GOTS vendor in which case this check is applicable.

1) If the threat model does not exist, or does not have identified threats, potential mitigations, and mitigations selected based on risk analysis, as sections within the Threat Model, it is a finding.
 
2) If the threat model has not been updated to reflect the application release being reviewed, this is a finding.
 
Verify the mitigations selected in the threat model have been implemented.
 
3) If the mitigations selected based on risk analysis have not been implemented, this is a finding. 
 
Review the identified threats from the each of the application’s networked components.  For example, a backend server may accept SQL queries and SSH connections and also have an NFS share.  Next, examine firewall rules and router ACLs that prevent clients from reaching these access points, effectively reducing the area of the threat surface.  For example, if the backend database accepts queries but is in an enclave where there are no user workstations and firewall rules allow only web traffic, this is not a finding.
 
For each of the remaining access points, attempt to access these resources in a similar manner as the application would without utilizing the user interface (e.g., send SQL query using a tool outside of the application or attempt to access a share using command line utilities).   
 
4) If a user can authenticate to any of these remaining access points outside of the intended user interface, this is a finding.  
 
The finding details should note the application component accessed and the method or tool used to access it. "
V-57519,medium,The application server must accept FICAM-approved third-party credentials.,"Access may be denied to legitimate users if FICAM-approved third-party credentials are not accepted.

This requirement typically applies to organizational information systems that are accessible to non-federal government agencies and other partners. This allows federal government relying parties to trust such credentials at their approved assurance levels.

Third-party credentials are those credentials issued by non-federal government entities approved by the Federal Identity, Credential, and Access Management (FICAM) Trust Framework Solutions initiative.",None,SV-71795r2_rule,F-62587r1_fix,Configure the application server to accept FICAM-approved third-party credentials.,C-58227r1_chk,"Review the application server documentation and configuration to determine if the application server accepts FICAM-approved third-party credentials.

If the application server does not accept FICAM-approved third-party credentials, this is a finding."
V-35186,medium,"The application server must alert the SA and ISSO, at a minimum, in the event of a log processing failure.","Logs are essential to monitor the health of the system, investigate changes that occurred to the system, or investigate a security incident.  When log processing fails, the events during the failure can be lost.  To minimize the timeframe of the log failure, an alert needs to be sent to the SA and ISSO at a minimum.

Log processing failures include, but are not limited to, failures in the application server log capturing mechanisms or log storage capacity being reached or exceeded. In some instances, it is preferred to send alarms to individuals rather than to an entire group. Application servers must be able to trigger an alarm and send an alert to, at a minimum, the SA and ISSO in the event there is an application server log processing failure.",None,SV-46473r3_rule,F-39734r2_fix,Configure the application server log feature to alert the SA and ISSO in the event of a log processing failure.,C-43566r3_chk,"Review application server log configuration.  Verify the application server sends alerts to the SA and ISSO in the event of a log processing failure.

If the application server is not configured to meet this requirement, this is a finding."
V-16817,low,The designer will ensure the application has a capability to notify the user of important login information.,Attempted logons must be controlled to prevent password guessing exploits and unauthorized access attempts. ,['ECLO-2'],SV-17817r1_rule,F-17117r1_fix,Display last login information.,C-17816r1_chk,"Policy:

The designer will ensure the application has a capability to notify the user on logon of date and time of the user's last unsuccessful logon, IP address of the user’s last  unsuccessful logon, date and time of the user's last successful logon, IP address of the user’s last successful logon, and number of unsuccessful logon attempts since the last successful logon.

Check:
If the application uses password authentication, try to logon to the system using an incorrect password.

Restart the application and logon again using the correct password. After a successful logon to the application, logout of the application and note the date and times for the last success and unsuccessful logons.  Again, logon to the application and determine whether the application correctly displays the following information immediately at logon:
 
Unsuccessful Logon
Date 
Time
IP Address
 
Successful Logon
Date 
Time
IP Address
 
If the application does not correctly display the last unsuccessful and successful logon information immediately at login, it is a finding
 
For CAC and NSA approved token authentication logons, remove the CAC or mistype the PIN to simulate an unsuccessful login.
"
V-57531,medium,"The application server, when a MAC I system, must be in a high-availability (HA) cluster.","A MAC I system is a system that handles data vital to the organization's operational readiness or effectiveness of deployed or contingency forces.  A MAC I system must maintain the highest level of integrity and availability.  By HA clustering the application server, the hosted application and data are given a platform that is load-balanced and provided high-availability.",None,SV-71807r2_rule,F-62599r1_fix,"If the application server is not a MAC I system, this requirement is NA.

Configure the application server to be part of an HA cluster.",C-58239r1_chk,"If the application server is not a MAC I system, this requirement is NA.

Review the application server documentation and configuration to determine if the application server is part of an HA cluster.

If the application server is not part of an HA cluster, this is a finding."
V-57543,medium,Application servers must use NIST-approved or NSA-approved key management technology and processes.,"An asymmetric encryption key must be protected during transmission. The public portion of an asymmetric key pair can be freely distributed without fear of compromise, and the private portion of the key must be protected. The application server will provide software libraries that applications can programmatically utilize to encrypt and decrypt information. These application server libraries must use NIST-approved or NSA-approved key management technology and processes when producing, controlling, or distributing symmetric and asymmetric keys.",None,SV-71819r2_rule,F-62611r1_fix,"Configure the application server to utilize NIST-approved or NSA-approved key management technology when the application server produces, controls, and distributes symmetric and asymmetric cryptographic keys.",C-58251r1_chk,"Review application server configuration and the NIST FIPS certificate to validate the application server uses NIST-approved or NSA-approved key management technology and processes when producing, controlling or distributing symmetric and asymmetric keys.

If the application server does not use this NIST-approved or NSA-approved key management technology and processes, this is a finding."
V-26752,medium,Applications providing information flow control must enforce approved authorizations for controlling the flow of information within the system in accordance with applicable policy.,"Information flow control regulates where information is allowed to travel within an information system and between information systems (as opposed to who is allowed to access the information) and without explicit regard to subsequent accesses to that information. 

From an application perspective, flow control is established once application data flow modeling has been completed.  Data flow modeling can be described as:

the process of identifying, modeling and documenting how data moves around an information system. Data flow modeling examines processes (activities transforming data from one form to another), data stores (the holding areas for data), external entities (what sends data into a system or receives data from a system, and data flows (routes by which data can flow). 

Once the application data flows have been identified, corresponding flow controls can be applied at the appropriate points.

A few examples of flow control restrictions include: keeping export controlled information from being transmitted in the clear to the Internet and blocking information marked as classified but is being transported to an unapproved destination.  Information flow control policies and enforcement mechanisms are commonly employed by organizations to control the flow of information between designated sources and destinations (e.g., networks, individuals, devices) within information systems and between interconnected systems. Flow control is based on the characteristics of the information and/or the information path.

Application specific examples of flow control enforcement can be found in information protection software (e.g., guards, proxies, gateways and cross domain solutions) employing rule sets or establish configuration settings restricting information system services or provide message-filtering capability based on content (e.g., using key word searches or document characteristics).  

Applications providing information flow control must be able to enforce approved authorizations for controlling the flow of information within the system in accordance with applicable policy.
",None,SV-34000r1_rule,None,None,None,None
V-26932,medium,The application must obscure feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals.,"To prevent the compromise of authentication information such as passwords during the authentication process,  the feedback from the information system shall not provide any information that would allow an unauthorized user to compromise the authentication mechanism.  

Obfuscation of user provided information when typed into the system is a method used in addressing this risk. 

For example, displaying asterisks when a user types in a password, is an example of obscuring feedback of authentication information.  ",None,SV-34212r1_rule,None,None,None,None
V-22030,medium,"The designer will ensure the asserting party uses FIPS approved random numbers in the generation of SessionIndex in the SAML element AuthnStatement.
","A predictable SessionIndex could lead to an attacker computing a future SessionIndex, thereby, possibly compromising the application.",['DCSQ-1'],SV-25356r1_rule,F-23094r1_fix,"Use FIPS approved random numbers in the generation of SessionIndex in the SAML element AuthnStatement.
",C-27028r1_chk,"Ask the application representative for the Design Document. Verify in the Design Document asserting parties for SAML assertions use FIPS approved random numbers in the generation of SessionIndex in the Element AuthnStatement.

If the application is a COTS/GOTS product or is composed of only COTS/GOTS products with no custom code, this check does not apply unless the application is being reviewed by or in conjunction with the COTS/GOTS vendor in which case this check is applicable.

1) If FIPS approved random numbers are not used in the generation of SessionIndex (in the Element AuthnStatement), it is a finding.

"
V-16829,medium,"The Test Manager will ensure a code review is performed before the application is released.
","A code review is a systematic evaluation of computer source code conducted for the purposes of identifying and remediating security flaws.  Examples of security flaws include but are not limited to format string exploits, memory leaks, buffer overflows or race conditions.  The code review is usually conducted during the application development phase, this allows discovered security issues to be corrected prior to release.  A code review can also be performed after the development phase, however, in all instances identified errors must go back to development for correction so conducting the code review during development is the logical and preferred action.  Automated code review tools are to be used whenever reviewing application source code.   These tools are often incorporated into many Integrated Development Environments (IDE) so code reviews can be conducted during all stages of the development life cycle.  Periodically reviewing code during the development phase makes transition to a production environment easier as flaws are continually identified and addressed during the development phase rather than en masse at the end of the development effort.
  
Code review processes and the tools used to conduct the code review analysis will vary depending upon application architecture and the development languages utilized.  

In addition to automated testing, manual code reviews may also be used to validate or augment automated code review results.  Larger projects will have a large code base and will require the use of automated code review tools in order to achieve complete code review coverage.  

A manual code review may consist of a peer review wherein other programmers on the team manually examine source code and automated code review results for known flaws that introduce security bugs into the application.

As with any testing, there is no single best approach and the tests must be tailored to the application architecture.  Use of automated tools along with manual review of code and testing results is considered a best practice when conducting code reviews. This method is the most likely way to ensure the maximum number of errors are caught and addressed prior to implementing the application in a production environment.   

For a list of tools that can be used for source code review, please reference http://samate.nist.gov/index.php/Source_Code_Security_Analyzers.html.
Please note that reference to these tools does not imply that they have been tested and approved for use by DISA.  
",['DCSQ-1'],SV-53700r1_rule,F-17146r3_fix,"Use automated code review tools, perform manual code reviews to validate and augment automated code review results.  Fix identified coding errors and issues prior to releasing application for production use.",C-17828r3_chk,"Ask the application representative to provide evidence of automated code reviews.  This will be in the form of a test plan or methodology which identifies application architecture and components as well as a formal report provided by the automated code review tool plus manual testing results.

This requirement requires access to the application source code, if the application is a COTS/GOTS product or is composed of only COTS/GOTS products with no custom code, this check does not apply unless the application is being reviewed by or in conjunction with the COTS/GOTS vendor in which case this check is applicable.

1) If an automated application code review is not performed, this is a finding.

2) If analysis of code review results is not performed, this is a finding.

3) If all application code is not being reviewed, this is a finding.

4) If the code review report includes coding errors that have not been fixed, this is a finding.  If identified coding errors have been fixed, this is not a finding.

5) If the code reviews indicate the existence of hard-coded IPv4 or IPV6 addresses, it is a finding.
"
V-26845,medium,The application must produce audit records containing sufficient information to establish what type of events occurred.,"Information system auditing capability is critical for accurate forensic analysis.   Audit record content that may be necessary to satisfy the requirement of this control, includes:  time stamps, source and destination addresses, user/process identifiers, event descriptions, success/fail indications, filenames involved, and access control or flow control rules invoked. ",None,SV-34125r1_rule,None,None,None,None
V-16773,medium,"The Program Manager will provide an Application Configuration Guide to the application hosting
providers to include a list of all potential hosting enclaves and connection rules and requirements. ",The security posture of the enclave could be degraded if an Application Configuration Guide is not available and followed by application developers. ,"['DCID-1', 'EBCR-1']",SV-17773r1_rule,F-16969r1_fix,Create and maintain an Application Configuration Guide and provide it to the application hosting facility.,C-17749r1_chk,"Detailed policy requirements:

The Program Manager will provide an Application Configuration Guide to the application hosting providers. The Program Manager will provide a list of all potential hosting enclaves and connection rules and requirements.
The Program Manager will ensure development systems, build systems, and test systems have a standardized environment and are documented in the Application Configuration Guide. The Designer will ensure known security assumptions, implications, system level protections, best practices, and required permissions are documented in the Application Configuration Guide. The Designer will ensure deployment configuration settings are documented in the Application Configuration Guide. The IAO will ensure the application is deployed in a manner consistent with the Application Configuration Guide provided by the developers. 

The Application Configuration Guide is any document or collection of documents used to configure the application.  These documents may be part of a user guide, secure configuration guide, or any guidance that satisfies the requirements below:
 
The Application Configuration Guide must be made available to application hosting providers. 
 
The Application Configuration Guide will contain a list of all potential hosting enclaves and connection rules and requirements. 
 
Development systems, build systems, and test systems must operate in a standardized environment. These settings are to be documented in the Application Configuration Guide.
Examples include:
 • Versions of compilers used
 • Build options when creating applications and components
 • Versions of COTS software (used as part of the application)
 • For web applications, which browsers and what versions are supported
 
All known security assumptions, implications, system level protections, best practices, and required permissions are documented in the Application Configuration Guide.
 
All deployment configuration settings are documented in the Application Configuration Guide.
Examples include:
 • Encryptions Settings
 • PKI Certificate Configuration Settings
 • Password Settings
 
All deployment configuration settings from the Application Configuration Guide should be implemented.
 
Ask the application representative for Application Configuration Guide or other guidance where these requirements are documented.  Verify the configuration settings have been implemented.
 
1) If any of the above information is missing, or the Application Configuration Guide does not exist, it is a finding. 
 
2) If the settings in the Application Configuration Guide are not implemented, it is a finding."
V-27014,medium,Applications that collectively provide name/address resolution service for an organization must implement internal/external role separation.,"A Domain Name System (DNS) server is an example of an information system providing name/address resolution service. To eliminate single points of failure and to enhance redundancy, there are typically at least two authoritative domain DNS servers, one configured as primary and the other as secondary. 

Additionally, the two servers are commonly located in two different network subnets and geographically separated (i.e., not located in the same physical facility). With regard to role separation, DNS servers with an internal role, only process name/address resolution requests from within the organization (i.e., internal clients). 

DNS servers with an external role only process name/address resolution information requests from clients external to the organization (i.e., on the external networks including the Internet). The set of clients that can access an authoritative DNS server in a particular role is specified by the organization (e.g., by address ranges, explicit lists). ",None,SV-34308r1_rule,None,None,None,None
V-70197,medium,Applications making SAML assertions must use FIPS-approved random numbers in the generation of SessionIndex in the SAML element AuthnStatement.,"A predictable SessionIndex could lead to an attacker computing a future SessionIndex, thereby, possibly compromising the application.

Use of weak or untested encryption algorithms undermines the purposes of utilizing encryption to protect data. The application must implement cryptographic modules adhering to the higher standards approved by the federal government since this provides assurance they have been tested and validated.",None,SV-84819r1_rule,F-76433r1_fix,Configure the application to use a FIPS-validated cryptographic module.,C-70673r1_chk,"Interview the system administrator, review the application components, and the application requirements to determine if the application uses SAML assertions.

If the application does not use SAML assertions, the requirement is not applicable.

Review the application documentation and interview he application administrator to identify the cryptographic modules used by the application.

Access the NIST site to determine if the cryptographic modules used by the application have been FIPS-validated.

http://csrc.nist.gov/groups/STM/cmvp/documents/140-1/140val-all.htm

If the application is using cryptographic modules that are not FIPS-validated when generating the SessionIndex in the SAML AuthnStatement, this is a finding."
V-69369,medium,The application must not write sensitive data into the application logs.,"It is important to identify and exclude certain types of data that is written into the logs. If the logs are compromised and sensitive data is included in the logs, this could assist an attacker in furthering their attack or it could completely compromise the system.

Examples of such data include but are not limited to; Passwords, Session IDs, Application source code, encryption keys, and sensitive data such as personal health information (PHI), Personally Identifiable Information (PII), or government identifiers (e.g., SSN).",None,SV-83991r1_rule,F-75543r1_fix,Design or reconfigure the application to not write sensitive data to the logs.,C-69783r1_chk,"Review the application logs and identify application logging format. Using the format of the log and the requisite search data as a guide to create your search, create search strings that could successfully identify the existence of passwords, session IDs, or other sensitive information such as SSN.

Utilizing the UNIX grep-based search utility include the following examples which are meant to illustrate the purpose of the requirement.

Password values are usually associated with usernames so searching for ""username"" in the provided log file will often assist in determining if password values are included.

grep -i ""username"" <  logfile.txt

Search for social security numbers in the provided log file.

grep -i ""[0-9]{3}[-]?[0-9]{2}[-]?[0-9]{4}"" <  logfile.txt

Use regular expressions to aid in searching log files. All search syntax cannot be provided within the STIG, the reviewer must utilize their knowledge to create new search criteria based upon the log format used and the potentially sensitive data processed by the application.

If the application logs sensitive data such as session IDs, application source code, encryption keys, or passwords, this is a finding."
V-27147,medium,"The application must synchronize with internal information system clocks which in turn, are synchronized on an organization-defined frequency with an organization-defined authoritative time source. ","Determining the correct time a particular application event occurred on a system is critical when conducting forensic analysis and investigating system events.  

Synchronization of system clocks is needed in order to correctly correlate the timing of events that occur across multiple systems. To meet that requirement the organization will define an authoritative time source and frequency to which each system will synchronize its internal clock.  

An example is utilizing the NTP protocol to synchronize with centralized NTP servers. Time stamps generated by the information system shall include both date and time. The time may be expressed in Coordinated Universal Time (UTC), a modern continuation of Greenwich Mean Time (GMT), or local time with an offset from UTC. 

Applications not purposed to provide NTP services should not try to compete with or replace NTP functionality and should synchronize with internal information system clocks that are in turn synchronized with an organization defined authoritative time source.",None,SV-34446r1_rule,None,None,None,None
V-30575,medium,The application must notify appropriate individuals when accounts are created.,"Once an attacker establishes initial access to a system, they often attempt to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply create a new account. 

Notification of account creation is one method and best practice for mitigating this risk. A comprehensive account management process will ensure that an audit trail which documents the creation of application user accounts and notifies administrators and/or application owners exists. Such a process greatly reduces the risk that accounts will be surreptitiously created and provides logging that can be used for forensic purposes.  

To address the multitude of policy based access requirements, many application developers choose to integrate their applications with enterprise level authentication/access mechanisms that meet or exceed access control policy requirements.  Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality. 

Examples of enterprise level authentication/access mechanisms include but are not limited to Active Directory and LDAP. 

Applications must support the requirement to notify appropriate individuals upon account creation.",None,SV-40309r1_rule,None,None,None,None
V-70211,medium,Applications must validate session identifiers.,"Many web development frameworks such as PHP, .NET, and ASP include their own mechanisms for session management. Whenever possible it is recommended to utilize the provided session management framework.",None,SV-84833r1_rule,F-76447r1_fix,Configure the application to configure user session identifiers.,C-70687r1_chk,"Review the application documentation and interview the application administrator.

Identify how the application validates session IDs.

If using a web development framework, ask the application administrator to provide details on the framework's session configuration as it relates to session validation.

If the application is not configured to validate user session identifiers, this is a finding."
V-57563,medium,The application server must remove organization-defined software components after updated versions have been installed.,"Installation of patches and updates is performed when there are errors or security vulnerabilities in the current release of the software.  When previous versions of software components are not removed from the application server after updates have been installed, an attacker may use the older components to exploit the system.",None,SV-71839r2_rule,F-62631r1_fix,Configure the application server to remove organization-defined software components after updated versions have been installed.,C-58271r1_chk,"Review the application server documentation and configuration to determine if organization-defined software components are removed after updated versions have been installed.

If organization-defined software components are not removed after updated versions have been installed, this is a finding."
V-16795,high,"The designer will ensure the application does not display account passwords as clear text.
",Passwords being displayed in clear text can be easily seen by casual observers. Password masking should be employed so any casual observers cannot see passwords on the screen as they are being typed.,['IAIA-1'],SV-17795r1_rule,F-17022r1_fix,Use password masking to prevent display of clear text password.,C-17790r1_chk,"Ask the application representative to login to the application. 
 
If the application uses password authentication, the password should not be displayed as clear text.
 
1) If the password is displayed as clear text, this is a finding."
V-26974,medium,"The application must be capable of taking organization-defined actions upon audit failure (e.g., overwrite oldest audit records, stop generating audit records, cease processing, notify of audit failure).","It is critical when a system is at risk of failing to process audit logs as required; it detects and takes action to mitigate the failure.  Audit processing failures include:  software/hardware errors, failures in the audit capturing mechanisms, and audit storage capacity being reached or exceeded.  Applications are required to be capable of either directly performing or calling system level functionality performing defined actions upon detection of an application audit log processing failure.",None,SV-34262r1_rule,None,None,None,None
V-27059,medium,"The application must maintain the integrity of information during aggregation, packaging, and transformation in preparation for transmission.","Ensuring the confidentiality of transmitted information requires that applications take feasible measures to employ transmission layer security.  This requirement applies to communications across internal and external networks. If the organization is relying on a commercial service provider for transmission services as a commodity item rather than a fully dedicated service, it may be more difficult to obtain the necessary assurances regarding the implementation of needed security controls for transmission integrity. 

When it is infeasible or impractical to obtain the necessary security controls and assurances of control effectiveness through appropriate contracting vehicles, the organization either implements appropriate compensating security controls or explicitly accepts the additional risk. 

When transmitting data, applications need to leverage transmission protection mechanisms such as TLS, SSL VPNs, or IPSEC.  ",None,SV-34354r1_rule,None,None,None,None
V-70177,medium,Applications used for non-local maintenance sessions must implement cryptographic mechanisms to protect the confidentiality of non-local maintenance and diagnostic communications.,"Privileged access contains control and configuration information which is particularly sensitive, so additional protections are necessary. This is maintained by using cryptographic mechanisms to protect confidentiality.

Non-local maintenance and diagnostic activities are those activities conducted by individuals communicating through a network, either an external network (e.g., the Internet) or an internal network. Local maintenance and diagnostic activities are those activities carried out by individuals physically present at the information system or information system component and not communicating across a network connection.

The application can meet this requirement through leveraging a cryptographic module.",None,SV-84799r1_rule,F-76413r1_fix,Configure the application to encrypt remote application maintenance sessions.,C-70653r1_chk,"Review the application documentation and interview the application administrator to identify application maintenance functions.

If the application does not provide non-local maintenance and diagnostic capability, this requirement is not applicable.

Identify the maintenance functions/capabilities that are provided by the application and performed by an individual which can be performed remotely.

For example, the application may provide the ability to clean up a folder of temporary files, add users, remove users, restart processes, backup certain files, manage logs, or execute diagnostic sessions.

Access the application in the appropriate role needed to execute maintenance tasks. Observe the manner in which the application is connecting and verify the session is being encrypted.

For example, observe the browser to ensure the session is being encrypted with TLS/SSL.

If the application provides remote access to maintenance functions and capabilities and the remote access methods are not encrypted, this is a finding."
V-16815,medium,"The designer will ensure the application is not vulnerable to race conditions.

","A race condition occurs when an application receives two or more actions on the same resource in an unanticipated order which causes a conflict. Sometimes, the resource is locked by different users or functions within the application creating a deadlock situation. 
",['DCSQ-1'],SV-17815r1_rule,F-17113r1_fix,"Protect against race condition vulnerabilities
",C-17814r1_chk,"Policy:

The designer will ensure the application is not vulnerable to race conditions.

The designer will ensure the application does not use global variables when local variables could be used.

The designer will ensure a multi-threaded application uses thread safe functions when threads are accessing the same object or data.

The Designer will ensure global resources are locked before being accessed by the application.

Check:
If the application is a COTS/GOTS product or is composed of only COTS/GOTS products with no custom code, this check does not apply unless the application is being reviewed by or in conjunction with the COTS/GOTS vendor in which case this check is applicable.


Ask the application representative for code review results from the entire application. This can be provided as results from an automated code review tool. The review results should include all web services used in the application.

If the results are provided from a manual code review, the application representative will need to demonstrate how the following vulnerabilities are identified during code reviews: 
• Race conditions
• Using global variables when local variables could be used
• Multi-threaded application uses thread safe functions
• Global resources are locked before being accessed by the application

1) If the results are not provided or the application representative cannot demonstrate how manual code reviews are performed to identify these vulnerabilities, it is a finding.
 
Examples of race conditions vulnerabilities can be obtained from the OWASP website."
V-22032,medium,"The designer shall ensure if a OneTimeUse element is used in an assertion, there is only one used in the Conditions element portion of an assertion.
","Multiple OneTimeUse elements used in a SAML assertion can lead to elevation of privileges, if the application does not process SAML assertions correctly.",['DCSQ-1'],SV-25358r1_rule,F-23100r1_fix,"When using OneTimeUse elements in a SAML assertion  only allow one, OneTimeUse element to be used in the Conditions element of a SAML assertion.",C-27027r1_chk,"Examine the contents of a SOAP message using the OneTimeUse element, all messages should contain only one instance of a  OneTimeUse element in a SAML assertion.  This can be accomplished using a protocol analyzer such as WireShark

1) If SOAP message uses more than one, OneTimeUse element in a SAML assertion, it is a finding."
